                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01111,                0.99327,                      1,                0.56139,              0.0033291,              0.0033291,              0.0033291
                      2,                0.03858,                0.93266,                      1,                0.62215,              0.0066294,              0.0066294,              0.0066294
                      3,                0.08705,                 0.9596,                      1,                0.59344,              0.0098968,              0.0098968,              0.0098968
                      4,                0.13093,                0.97643,                      1,                0.57317,              0.0098515,              0.0098515,              0.0098515
                      5,                0.11639,                0.98653,                      1,                0.57083,              0.0098515,              0.0098515,              0.0098515
                      6,                 0.1159,                      1,                      1,                0.55713,               0.009802,               0.009802,               0.009802
                      7,                 0.1062,                0.99327,                      1,                0.56335,              0.0097525,              0.0097525,              0.0097525
                      8,                 0.0784,                      1,                      1,                0.55949,               0.009703,               0.009703,               0.009703
                      9,                0.06894,                0.99327,                      1,                0.56006,              0.0096535,              0.0096535,              0.0096535
                     10,                0.07606,                0.98653,                      1,                0.56874,               0.009604,               0.009604,               0.009604
                     11,                0.09116,                0.98653,                      1,                0.56371,              0.0095545,              0.0095545,              0.0095545
                     12,                0.07889,                      1,                      1,                0.56065,               0.009505,               0.009505,               0.009505
                     13,                0.06876,                0.99327,                      1,                0.56037,              0.0094555,              0.0094555,              0.0094555
                     14,                0.05983,                0.99663,                      1,                0.55872,               0.009406,               0.009406,               0.009406
                     15,                0.07345,                 0.9798,                      1,                0.57638,              0.0093565,              0.0093565,              0.0093565
                     16,                0.06305,                      1,                      1,                  0.557,               0.009307,               0.009307,               0.009307
                     17,                0.05374,                 0.9798,                      1,                0.56677,              0.0092575,              0.0092575,              0.0092575
                     18,                0.05757,                0.99327,                      1,                0.55924,               0.009208,               0.009208,               0.009208
                     19,                0.05186,                 0.9798,                      1,                0.57054,              0.0091585,              0.0091585,              0.0091585
                     20,                0.05697,                0.99327,                      1,                0.55931,               0.009109,               0.009109,               0.009109
                     21,                0.04596,                0.99663,                      1,                0.56001,              0.0090595,              0.0090595,              0.0090595
                     22,                0.04842,                0.99327,                      1,                0.56255,                0.00901,                0.00901,                0.00901
                     23,                0.05192,                0.98653,                      1,                0.56674,              0.0089605,              0.0089605,              0.0089605
                     24,                 0.0483,                0.99327,                      1,                0.56291,               0.008911,               0.008911,               0.008911
                     25,                0.05428,                0.98316,                      1,                0.57018,              0.0088615,              0.0088615,              0.0088615
                     26,                0.03495,                0.99327,                      1,                0.56127,               0.008812,               0.008812,               0.008812
                     27,                0.04521,                 0.9899,                      1,                0.56353,              0.0087625,              0.0087625,              0.0087625
                     28,                0.04109,                 0.9798,                      1,                0.56797,               0.008713,               0.008713,               0.008713
                     29,                0.04535,                0.99327,                      1,                0.55942,              0.0086635,              0.0086635,              0.0086635
                     30,                0.04936,                 0.9899,                      1,                0.56271,               0.008614,               0.008614,               0.008614
                     31,                0.03478,                0.99327,                      1,                0.55921,              0.0085645,              0.0085645,              0.0085645
                     32,                0.04386,                0.99327,                      1,                0.55741,               0.008515,               0.008515,               0.008515
                     33,                0.03992,                0.99327,                      1,                0.55821,              0.0084655,              0.0084655,              0.0084655
                     34,                0.05005,                0.99663,                      1,                0.56471,               0.008416,               0.008416,               0.008416
                     35,                0.03965,                0.98316,                      1,                0.56566,              0.0083665,              0.0083665,              0.0083665
                     36,                0.03876,                 0.9899,                      1,                0.56235,               0.008317,               0.008317,               0.008317
                     37,                0.03735,                0.99327,                      1,                0.56042,              0.0082675,              0.0082675,              0.0082675
                     38,                0.04875,                0.99663,                      1,                0.56006,               0.008218,               0.008218,               0.008218
                     39,                0.04176,                      1,                      1,                0.55487,              0.0081685,              0.0081685,              0.0081685
                     40,                0.04837,                0.99327,                      1,                0.56096,               0.008119,               0.008119,               0.008119
                     41,                0.04177,                0.99327,                      1,                0.56111,              0.0080695,              0.0080695,              0.0080695
                     42,                0.03541,                0.99327,                      1,                0.56137,                0.00802,                0.00802,                0.00802
                     43,                0.03351,                0.99663,                      1,                0.55954,              0.0079705,              0.0079705,              0.0079705
                     44,                0.04216,                0.98653,                      1,                0.56535,               0.007921,               0.007921,               0.007921
                     45,                0.04313,                      1,                      1,                0.55944,              0.0078715,              0.0078715,              0.0078715
                     46,                 0.0367,                0.99327,                      1,                 0.5589,               0.007822,               0.007822,               0.007822
                     47,                 0.0427,                      1,                      1,                0.55327,              0.0077725,              0.0077725,              0.0077725
                     48,                0.04179,                      1,                      1,                0.55279,               0.007723,               0.007723,               0.007723
                     49,                0.03489,                0.99663,                      1,                0.55566,              0.0076735,              0.0076735,              0.0076735
                     50,                0.03235,                0.99663,                      1,                0.55584,               0.007624,               0.007624,               0.007624
                     51,                0.03969,                0.98653,                      1,                0.56276,              0.0075745,              0.0075745,              0.0075745
                     52,                0.03527,                0.99327,                      1,                0.55859,               0.007525,               0.007525,               0.007525
                     53,                0.03428,                 0.9899,                      1,                0.56096,              0.0074755,              0.0074755,              0.0074755
                     54,                 0.0331,                0.99663,                      1,                0.55649,               0.007426,               0.007426,               0.007426
                     55,                0.02656,                0.99327,                      1,                0.55736,              0.0073765,              0.0073765,              0.0073765
                     56,                0.03939,                      1,                      1,                0.55679,               0.007327,               0.007327,               0.007327
